Case,Description,Indicated_Airspeed,Mass,n,Altitude
LC-1,Positive manoeuvring @ V_A,75.48,6763.18,3.07,FL0
LC-2,Positive manoeuvring @ V_C,231.4,6763.18,3.07,FL0
LC-3,Positive manoeuvring @ V_D,255.22,6763.18,3.07,FL0
LC-4,Negative manoeuvring @ V_C,231.4,6763.18,-1,FL0
LC-5,Negative manoeuvring @ V_A,75.48,6763.18,-1,FL0
LC-6,Positive manoeuvring @ V_A,75.48,6763.18,3.07,FL410
LC-7,Positive manoeuvring @ V_C,97.17,6763.18,3.07,FL410
LC-8,Positive manoeuvring @ V_D,107.17,6763.18,3.07,FL410
LC-9,Negative manoeuvring @ V_C,97.17,6763.18,-1,FL410
LC-10,Negative manoeuvring @ V_A,75.48,6763.18,-1,FL410
LC-11,Positive manoeuvring @ V_A,96.43,12314.28,2.75,FL0
LC-12,Positive manoeuvring @ V_C,231.4,12314.28,2.75,FL0
LC-13,Positive manoeuvring @ V_D,255.22,12314.28,2.75,FL0
LC-14,Negative manoeuvring @ V_C,231.4,12314.28,-1,FL0
LC-15,Negative manoeuvring @ V_A,96.43,12314.28,-1,FL0
LC-16,Positive manoeuvring @ V_A,96.43,12314.28,2.75,FL410
LC-17,Positive manoeuvring @ V_C,97.17,12314.28,2.75,FL410
LC-18,Positive manoeuvring @ V_D,107.17,12314.28,2.75,FL410
LC-19,Negative manoeuvring @ V_C,97.17,12314.28,-1,FL410
LC-20,Negative manoeuvring @ V_A,96.43,12314.28,-1,FL410
LC-21,Positive manoeuvring @ V_A,79.87,7773.18,2.99,FL0
LC-22,Positive manoeuvring @ V_C,231.4,7773.18,2.99,FL0
LC-23,Positive manoeuvring @ V_D,255.22,7773.18,2.99,FL0
LC-24,Negative manoeuvring @ V_C,231.4,7773.18,-1,FL0
LC-25,Negative manoeuvring @ V_A,79.87,7773.18,-1,FL0
LC-26,Positive manoeuvring @ V_A,79.87,7773.18,2.99,FL410
LC-27,Positive manoeuvring @ V_C,97.17,7773.18,2.99,FL410
LC-28,Positive manoeuvring @ V_D,107.17,7773.18,2.99,FL410
LC-29,Negative manoeuvring @ V_C,97.17,7773.18,-1,FL410
LC-30,Negative manoeuvring @ V_A,79.87,7773.18,-1,FL410